,Accepted Symbol,Synonym Symbol,Scientific Name,Invasive,C:N Ratio,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Leaf Retention,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,"Frost Free Days, Minimum",Moisture Use,pH (Minimum),pH (Maximum),Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Palatable Browse Animal,Sheffields Aval
60,ANGE,,Andropogon gerardii,SWSS,Medium,Moderate,,6.0,No,None,Yes,Yes,155.0,Low,6.0,7.5,12.0,55.0,20.0,Intolerant,-46.0,Routinely Available,Yes,Medium,True
61,ANGL2,,Andropogon glomeratus,,Medium,Moderate,,6.3,No,None,Yes,Yes,160.0,High,5.0,6.3,35.0,70.0,12.0,Intolerant,-23.0,Routinely Available,Yes,Medium,False
62,ANHA,,Andropogon hallii,,Medium,Moderate,,6.1,No,None,Yes,No,120.0,Medium,5.6,8.4,10.0,32.0,20.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
63,ANVI2,,Andropogon virginicus,"HEAR, KY, N'EAST, STATE, SWSS",High,Slow,,3.0,No,None,No,Yes,135.0,Medium,4.9,7.0,30.0,45.0,14.0,Intolerant,-18.0,Routinely Available,Yes,Low,True
64,ANCA10,,Anemopsis californica,,Low,Moderate,,1.5,No,None,No,Yes,280.0,High,6.5,9.0,6.0,18.0,6.0,Intolerant,22.0,Routinely Available,Yes,,False
65,ANAR3,,Angelica arguta,,High,Rapid,,6.0,No,None,No,Yes,165.0,High,6.5,7.5,12.0,20.0,10.0,Intermediate,-18.0,Routinely Available,Yes,,False
66,ANMU2,,Annona muricata,,High,Moderate,20.0,20.0,Yes,None,Yes,Yes,365.0,Medium,5.0,7.0,60.0,90.0,60.0,Intermediate,17.0,Routinely Available,Yes,Medium,True
67,ANRE,,Annona reticulata,,Medium,,26.0,20.0,No,None,Yes,No,365.0,,,,32.0,98.0,36.0,Intolerant,40.0,Routinely Available,Yes,Medium,False
68,ANSQ,,Annona squamosa,,Medium,,30.0,20.0,Yes,None,Yes,Yes,365.0,,,,32.0,98.0,24.0,Intolerant,27.0,Routinely Available,Yes,Medium,False
69,APAM,,Apios americana,,Low,Rapid,,1.0,No,Medium,Yes,Yes,140.0,Medium,6.0,7.5,28.0,55.0,8.0,Tolerant,-23.0,Routinely Available,Yes,Medium,False
70,AQCO,,Aquilegia coerulea,,,,,,,,,,,,,,,,,,,,,,False
71,AQCO,AQCA2,Aquilegia caerulea,,Medium,Moderate,,2.0,No,None,Yes,Yes,130.0,Medium,6.2,8.4,12.0,40.0,10.0,Tolerant,-28.0,Routinely Available,Yes,Low,True
72,ARSP2,,Aralia spinosa,,High,Moderate,20.0,20.0,No,None,Yes,Yes,160.0,High,4.8,6.6,35.0,80.0,30.0,Intolerant,-25.0,Routinely Available,Yes,Low,True
73,ARME,,Arbutus menziesii,,High,Slow,25.0,80.0,Yes,None,Yes,Yes,200.0,Low,4.5,7.4,15.0,163.0,24.0,Intermediate,13.0,Routinely Available,Yes,Medium,True
74,ARNE,,Arctostaphylos nevadensis,,High,Slow,2.0,2.0,Yes,None,Yes,Yes,180.0,Low,6.0,8.4,16.0,80.0,30.0,Tolerant,-13.0,Routinely Available,Yes,Low,True
75,ARPA6,,Arctostaphylos patula,,High,Slow,5.0,6.0,Yes,None,Yes,Yes,120.0,Medium,5.5,7.6,13.0,60.0,20.0,Intermediate,-28.0,Routinely Available,Yes,Low,True
76,ARUV,,Arctostaphylos uva-ursi,,High,Moderate,,0.5,Yes,None,Yes,Yes,140.0,Low,5.5,8.0,14.0,45.0,10.0,Intermediate,-33.0,Routinely Available,No,Low,True
77,ARPLP,,Argemone pleiacantha ssp. pinnatisecta,,High,Moderate,,0.6,No,None,Yes,Yes,200.0,Low,7.0,9.0,6.0,12.0,16.0,Intolerant,7.0,Routinely Available,Yes,,False
78,ARAN7,,Argentina anserina,,Low,Rapid,,0.5,No,None,Yes,Yes,200.0,High,7.0,8.0,11.0,40.0,6.0,Tolerant,-23.0,Routinely Available,No,Medium,False
79,ARTR,,Arisaema triphyllum,,High,Moderate,,1.5,No,None,Yes,Yes,175.0,High,4.8,7.0,34.0,50.0,8.0,Tolerant,-18.0,Routinely Available,Yes,Low,True
80,ARMA6,,Armeria maritima,,High,Moderate,,0.9,Yes,None,Yes,Yes,110.0,Medium,4.7,7.5,32.0,60.0,10.0,Intolerant,-28.0,Routinely Available,No,Low,False
81,ARAR7,,Aronia arbutifolia,,,,,,,,,,,,,,,,,,,,,,True
82,ARAR7,PHPY4,Photinia pyrifolia,,High,Moderate,5.0,5.0,No,None,No,Yes,130.0,High,5.5,7.5,34.0,60.0,20.0,Intolerant,-18.0,Routinely Available,Yes,Low,False
83,ARCA13,,Artemisia cana,WSWS,Medium,Moderate,5.0,5.0,No,None,Yes,Yes,90.0,Low,5.2,9.0,8.0,40.0,20.0,Intolerant,-43.0,Routinely Available,Yes,Medium,False
84,ARFR4,,Artemisia frigida,"NE&GP, WSWS",High,Rapid,,2.0,No,None,Yes,Yes,90.0,Low,7.0,9.0,10.0,40.0,8.0,Intermediate,-43.0,Routinely Available,Yes,High,False
85,ARLU,,Artemisia ludoviciana,NE&GP,High,Moderate,,3.0,No,None,Yes,Yes,70.0,Low,6.0,9.0,10.0,60.0,8.0,Intolerant,-33.0,Routinely Available,Yes,Medium,False
86,ARNO4,,Artemisia nova,,Medium,Moderate,2.0,2.0,No,None,Yes,Yes,90.0,Low,7.0,8.5,6.0,20.0,10.0,Intolerant,-23.0,Routinely Available,Yes,Medium,False
87,ARTI,,Artemisia tilesii,,Low,Moderate,54.0,36.0,No,None,Yes,No,120.0,Medium,5.0,7.5,10.0,32.0,12.0,Tolerant,-62.0,Routinely Available,Yes,Low,False
88,ARTR2,,Artemisia tridentata,WSWS,Low,Slow,3.0,4.0,Yes,None,No,Yes,90.0,Medium,6.0,8.2,6.0,16.0,20.0,Intolerant,-43.0,Routinely Available,Yes,Low,False
89,ARTRT,,Artemisia tridentata ssp. tridentata,,High,Slow,9.0,9.0,Yes,None,Yes,Yes,90.0,Low,6.5,8.5,6.0,35.0,16.0,Intolerant,-13.0,Routinely Available,Yes,Medium,False
90,ARTRV,,Artemisia tridentata ssp. vaseyana,,Medium,Slow,5.0,7.0,No,None,Yes,Yes,90.0,Low,6.0,8.5,11.0,45.0,16.0,Intolerant,-43.0,Routinely Available,Yes,Low,False
91,ARAL7,,Artocarpus altilis,,High,Rapid,60.0,60.0,Yes,None,Yes,Yes,365.0,High,4.0,7.0,60.0,100.0,60.0,Intermediate,17.0,Routinely Available,Yes,Low,False
92,ARGI,,Arundinaria gigantea,,High,Rapid,,25.0,No,None,Yes,Yes,180.0,Medium,5.0,6.9,24.0,100.0,18.0,Intolerant,-23.0,Routinely Available,No,Medium,False
93,ARDO4,,Arundo donax,"Cal-IPC, HEAR, SEEPPC, STATE",High,Rapid,,9.0,No,None,No,Yes,220.0,High,4.8,7.0,35.0,65.0,24.0,Intermediate,7.0,Routinely Available,No,Low,False
94,ASIN,,Asclepias incarnata,"NE&GP, WSWS",,Moderate,,4.9,No,None,No,Yes,107.0,High,5.0,8.0,15.0,65.0,18.0,Intolerant,-38.0,Routinely Available,Yes,,True
95,ASSP,,Asclepias speciosa,WSWS,High,Moderate,,6.0,No,None,Yes,Yes,90.0,Medium,5.0,7.0,16.0,30.0,18.0,Intolerant,-33.0,Routinely Available,Yes,,False
96,ASTU,,Asclepias tuberosa,,Low,Slow,,2.0,No,None,Yes,Yes,135.0,Low,4.8,6.8,28.0,45.0,16.0,Intolerant,-33.0,Routinely Available,Yes,Low,True
97,ASTR,,Asimina triloba,,High,Slow,25.0,25.0,No,None,Yes,Yes,160.0,Medium,4.7,7.2,36.0,80.0,20.0,Tolerant,-27.0,Routinely Available,Yes,Low,True
98,ASAL3,,Aster alpinus,,Medium,Slow,,0.3,No,None,No,Yes,90.0,Medium,6.0,7.5,18.0,36.0,15.0,Intermediate,-28.0,Routinely Available,Yes,Low,False
99,ASCA11,,Astragalus canadensis,,Medium,Moderate,,0.5,No,Low,No,Yes,175.0,Medium,6.0,8.0,20.0,50.0,10.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
100,ASCI4,,Astragalus cicer,,Low,Moderate,,3.0,No,High,No,Yes,115.0,High,6.0,8.5,16.0,60.0,16.0,Intolerant,-43.0,Routinely Available,Yes,High,False
101,ATFI,,Athyrium filix-femina,,Medium,Moderate,,3.0,No,None,No,Yes,80.0,Medium,4.5,7.0,30.0,60.0,12.0,Tolerant,-38.0,Routinely Available,No,,False
102,ATCA2,,Atriplex canescens,,Medium,Slow,4.0,4.0,No,None,Yes,Yes,115.0,Medium,6.5,9.5,5.0,18.0,20.0,Intolerant,-43.0,Routinely Available,Yes,High,True
103,ATCO,,Atriplex confertifolia,,High,Slow,3.0,3.0,No,None,Yes,Yes,165.0,Medium,7.5,9.0,4.0,12.0,10.0,Intolerant,-38.0,Routinely Available,Yes,High,True
104,ATGA,,Atriplex gardneri,,Medium,Slow,4.0,4.0,No,None,Yes,Yes,110.0,Low,6.6,9.0,5.0,12.0,20.0,Intolerant,-38.0,Routinely Available,Yes,High,False
105,ATLE,,Atriplex lentiformis,,High,Moderate,10.0,10.0,No,None,No,Yes,195.0,Low,7.0,10.0,4.0,20.0,20.0,Intolerant,7.0,Routinely Available,Yes,Medium,False
106,ATNU,,Atriplex nummularia,,High,Slow,9.0,9.0,No,None,Yes,Yes,150.0,Low,6.0,9.0,7.0,17.0,20.0,Intolerant,-8.0,Routinely Available,Yes,Medium,False
107,AVSA,,Avena sativa,SWSS,Low,Rapid,,2.0,No,None,Yes,Yes,90.0,Medium,5.3,8.5,25.0,100.0,8.0,Intolerant,-23.0,Routinely Available,Yes,Medium,True
108,AVGE,,Avicennia germinans,,High,Rapid,50.0,30.0,Yes,None,No,Yes,328.0,High,6.0,8.0,34.0,81.0,24.0,Intolerant,10.0,Routinely Available,Yes,Low,False
109,BAHA,,Baccharis halimifolia,,High,Moderate,10.0,10.0,No,None,Yes,Yes,180.0,High,5.5,7.8,36.0,60.0,20.0,Intermediate,-3.0,Routinely Available,Yes,,True
110,BAPI,,Baccharis pilularis,,High,Moderate,10.0,10.0,Yes,None,Yes,Yes,210.0,Low,6.0,8.5,12.0,30.0,20.0,Intolerant,22.0,Routinely Available,Yes,Low,False
111,BASA4,,Baccharis salicifolia,,High,Rapid,10.0,10.0,No,None,Yes,Yes,160.0,Medium,7.0,8.5,10.0,18.0,12.0,Intolerant,-3.0,Routinely Available,Yes,Low,False
112,BASA3,,Balsamorhiza sagittata,,Medium,Moderate,,2.0,No,None,No,Yes,150.0,Medium,6.5,8.0,8.0,25.0,14.0,Intermediate,-38.0,Routinely Available,Yes,High,False
113,BAVU2,,Bambusa vulgaris,,High,Rapid,,50.0,Yes,None,Yes,Yes,365.0,Medium,4.0,7.0,60.0,100.0,24.0,Intolerant,17.0,Routinely Available,Yes,Low,False
114,BAMA5,,Batis maritima,,Low,Moderate,,0.1,No,None,Yes,Yes,200.0,Medium,4.0,7.9,28.0,60.0,6.0,Intolerant,17.0,Routinely Available,Yes,Low,False
115,BEJU4,,Berberis julianae,,,,,,,,,,,,,,,,,,,,,,False
116,BEJU4,BEJU3,Berberis julianiae,,High,Moderate,7.0,7.0,Yes,None,Yes,Yes,180.0,Medium,5.0,7.5,32.0,55.0,14.0,Intolerant,-3.0,Routinely Available,Yes,Low,False
117,BETH,,Berberis thunbergii,"SEEPPC, WI",High,Moderate,6.0,6.0,No,None,Yes,Yes,180.0,Medium,5.5,7.2,30.0,60.0,18.0,Intolerant,-28.0,Routinely Available,Yes,Low,False
118,BENI,,Betula nigra,,Medium,Rapid,35.0,70.0,No,None,Yes,Yes,150.0,High,3.0,6.5,30.0,80.0,20.0,Intolerant,-31.0,Routinely Available,Yes,Medium,True
119,BEOC2,,Betula occidentalis,,Medium,Rapid,25.0,25.0,No,None,Yes,Yes,140.0,High,5.5,7.8,10.0,70.0,20.0,Intermediate,-62.0,Routinely Available,Yes,Medium,True
120,BEPA,,Betula papyrifera,,Medium,Rapid,40.0,70.0,No,None,Yes,Yes,80.0,High,4.2,7.4,12.0,60.0,24.0,Intolerant,-62.0,Routinely Available,Yes,High,True
121,BEPE3,,Betula pendula,,Medium,Rapid,40.0,60.0,No,None,Yes,Yes,90.0,High,5.0,7.5,30.0,55.0,24.0,Intolerant,-33.0,Routinely Available,Yes,Low,True
122,BEPO,,Betula populifolia,,Medium,Rapid,25.0,25.0,No,None,Yes,Yes,90.0,Low,3.5,6.5,36.0,65.0,18.0,Intermediate,-35.0,Routinely Available,Yes,Medium,True
123,BEPU4,,Betula pumila,,High,Moderate,20.0,20.0,No,None,No,Yes,90.0,Medium,5.1,8.5,16.0,60.0,18.0,Intolerant,-38.0,Routinely Available,Yes,High,True
124,BIAR,,Bidens aristosa,KY,Medium,Rapid,,3.5,No,None,No,Yes,140.0,High,5.0,7.0,22.0,55.0,8.0,Intermediate,52.0,Routinely Available,Yes,Low,False
125,BICE,,Bidens cernua,"NE&GP, WSWS",Medium,Rapid,,3.2,No,None,Yes,Yes,85.0,High,5.1,7.0,32.0,55.0,8.0,Intermediate,47.0,Routinely Available,Yes,Low,True
126,BICO5,,Bidens connata,,Medium,Rapid,,3.2,No,None,Yes,Yes,115.0,High,5.2,7.1,32.0,55.0,8.0,Intermediate,47.0,Routinely Available,Yes,Low,False
127,BICO,,Bidens coronata,,Medium,Rapid,,3.4,No,None,Yes,Yes,145.0,High,5.2,7.1,32.0,55.0,8.0,Intermediate,52.0,Routinely Available,Yes,Low,False
128,BIFR,,Bidens frondosa,"N'EAST, NE&GP",High,Rapid,,4.0,No,None,Yes,Yes,80.0,Medium,5.2,7.2,24.0,60.0,8.0,Intermediate,47.0,Routinely Available,Yes,Low,False
129,BILA,,Bidens laevis,,Medium,Rapid,,3.3,No,None,Yes,Yes,145.0,High,5.0,7.0,24.0,55.0,8.0,Intermediate,52.0,Routinely Available,Yes,Low,False
130,BOFL3,,Bolboschoenus fluviatilis,,,,,,,,,,,,,,,,,,,,,,False
131,BOFL3,SCFL11,Schoenoplectus fluviatilis,,,Moderate,,6.6,No,None,No,Yes,110.0,Medium,4.0,7.5,18.0,60.0,16.0,Intolerant,-38.0,Routinely Available,Yes,,False
132,BOMA7,,Bolboschoenus maritimus,,,,,,,,,,,,,,,,,,,,,,False
133,BOMA7,SCMA8,Schoenoplectus maritimus,,,Moderate,,3.2,No,None,Yes,Yes,110.0,Medium,4.0,7.0,40.0,60.0,12.0,Intolerant,-23.0,Routinely Available,Yes,,False
134,BORO5,,Bolboschoenus robustus,,,,,,,,,,,,,,,,,,,,,,False
135,BORO5,SCRO5,Schoenoplectus robustus,,Medium,Rapid,,4.9,No,None,No,Yes,120.0,High,6.4,8.4,16.0,35.0,16.0,Intolerant,7.0,Routinely Available,Yes,,False
136,BOAS,,Boltonia asteroides,,Medium,Rapid,,8.0,No,None,Yes,Yes,80.0,Medium,5.3,7.0,22.0,55.0,12.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
